drug	total_sample_count	training_sample_count	testing_sample_count	type	pp	model	RMSE	Rsquare	COR
BMS-536924	673	471	202	mo	scale+nzv	glm	0.13183081525291568	NA	NA
BMS-536924	673	471	202	mo	scale+nzv+pca	glm	0.13183081525291568	NA	NA
BMS-754807	619	433	186	panel	scale+nzv	glm	0.18245034938241234	NA	NA
BMS-754807	619	433	186	panel	scale+nzv+pca	glm	0.18385760911143573	0.002794962923879545	-0.052867408900754205
BMS-754807	619	433	186	mo	scale+nzv	glm	0.18131221577670995	0.014243633836927007	0.1193466959615012
BMS-754807	619	433	186	mo	scale+nzv+pca	glm	0.18494607191455023	8.703965465955026e-4	-0.029502483736043354
BORTEZOMIB	606	424	182	panel	scale+nzv	glm	0.13289171150110793	0.07906517203900959	0.2811852984048234
BORTEZOMIB	606	424	182	panel	scale+nzv+pca	glm	0.13405068683298657	0.06203512386210611	0.24906851238586164
BORTEZOMIB	606	424	182	mo	scale+nzv	glm	0.1300142111492319	0.12159672669375278	0.34870722202695026
BORTEZOMIB	606	424	182	mo	scale+nzv+pca	glm	0.12953934236521686	0.12122544151332991	0.34817444121205954
BOSUTINIB	659	461	198	panel	scale+nzv	glm	0.0800050389346703	2.66538102928427e-4	0.01632599469950995
BOSUTINIB	659	461	198	panel	scale+nzv+pca	glm	0.07993521668001102	0.0025048596270790062	0.050048572677739836
BOSUTINIB	659	461	198	mo	scale+nzv	glm	0.07774751825545119	0.06023173333612934	0.24542154211912479
BOSUTINIB	659	461	198	mo	scale+nzv+pca	glm	0.07926430796343	0.025438483748023842	0.15949446306384382
BPD-00008900	552	386	166	panel	scale+nzv	glm	0.03196942503323057	NA	NA
BPD-00008900	552	386	166	panel	scale+nzv+pca	glm	0.03196942503323057	NA	NA
BPD-00008900	552	386	166	mo	scale+nzv	glm	0.03196934874184162	0.0031732712150190703	0.056331795773071805
BPD-00008900	552	386	166	mo	scale+nzv+pca	glm	0.03190581638678368	0.007615509174773882	0.08726688475460713
BRIVANIB	642	449	193	panel	scale+nzv	glm	0.042706113076275067	0.06642643457800196	0.2577332624594698
BRIVANIB	642	449	193	panel	scale+nzv+pca	glm	0.043655913226366645	0.051948584444135686	0.22792232107482516
BRIVANIB	642	449	193	mo	scale+nzv	glm	0.041891186768384554	0.0990922456089903	0.31478920821557765
BRIVANIB	642	449	193	mo	scale+nzv+pca	glm	0.043018160059078034	0.09853113249013605	0.3138966907919484
BRYOSTATIN 1	614	430	184	panel	scale+nzv	glm	0.03606668914075046	1.1120799469031503e-4	-0.010545520124219337
BRYOSTATIN 1	614	430	184	panel	scale+nzv+pca	glm	0.03589639434908728	0.02405770127001646	0.15510545209636076
BRYOSTATIN 1	614	430	184	mo	scale+nzv	glm	0.035454008723583154	0.03778447632724069	0.1943822942740431
BRYOSTATIN 1	614	430	184	mo	scale+nzv+pca	glm	0.035836043501266686	0.011648855365746127	0.10792986317857596
BUPARLISIB	552	386	166	panel	scale+nzv	glm	0.07116416837852922	0.045965006222965676	0.21439451071089874
BUPARLISIB	552	386	166	panel	scale+nzv+pca	glm	0.07193263711608316	0.0267185093312115	0.1634579742050277
BUPARLISIB	552	386	166	mo	scale+nzv	glm	0.07101648218753118	0.05054613093287552	0.2248246670916595
BUPARLISIB	552	386	166	mo	scale+nzv+pca	glm	0.07175988674875505	0.04013704207978874	0.20034231225527158
BVD-523	558	391	167	panel	scale+nzv	glm	0.08463963670446617	0.07190136624975169	0.26814430116963456
BVD-523	558	391	167	panel	scale+nzv+pca	glm	0.08685067392254425	0.024471057361916508	0.15643227723815986
BVD-523	558	391	167	mo	scale+nzv	glm	0.08221471044525548	0.13212737570437857	0.36349329526743485
BVD-523	558	391	167	mo	scale+nzv+pca	glm	0.08399171375480757	0.08546624564070286	0.2923461059099349
BX-795	657	460	197	panel	scale+nzv	glm	0.09494211288267425	0.10166182144900049	0.3188445098304195
BX-795	657	460	197	panel	scale+nzv+pca	glm	0.09917299693455127	0.02076783883616494	0.14411050911076867
BX-795	657	460	197	mo	scale+nzv	glm	0.09508761345728507	0.11256775833802947	0.33551118958691895
BX-795	657	460	197	mo	scale+nzv+pca	glm	0.09726630551344291	0.09575932171993154	0.3094500310549856
BX-912	640	448	192	panel	scale+nzv	glm	0.16864993360793756	0.14546090501548956	0.38139337306184223
BX-912	640	448	192	panel	scale+nzv+pca	glm	0.1673664089547122	0.1600443309316383	0.40005540982673676
BX-912	640	448	192	mo	scale+nzv	glm	0.15008782039890925	0.33596884407087124	0.5796281946824803
BX-912	640	448	192	mo	scale+nzv+pca	glm	0.15531837331965584	0.2907079296057932	0.5391733762026768
C-75	638	447	191	panel	scale+nzv	glm	0.050021272888184115	0.06244251839547722	0.24988501034571325
C-75	638	447	191	panel	scale+nzv+pca	glm	0.0503278200499437	0.06367222044403151	0.252333549977072
C-75	638	447	191	mo	scale+nzv	glm	0.04946720908517595	0.08498273573371401	0.2915179852662851
C-75	638	447	191	mo	scale+nzv+pca	glm	0.04955014779260168	0.09335946915987248	0.3055478181232399
CABOZANTINIB	640	448	192	panel	scale+nzv	glm	0.09304352310505841	0.0956608374334252	0.30929086218869317
CABOZANTINIB	640	448	192	panel	scale+nzv+pca	glm	0.09232215274568438	0.10003683694762759	0.31628600498224324
CABOZANTINIB	640	448	192	mo	scale+nzv	glm	0.08995733428927591	0.2373376520838361	0.48717312331843193
CABOZANTINIB	640	448	192	mo	scale+nzv+pca	glm	0.09054534869265814	0.1344995890208029	0.3667418561069937
CAMPTOTHECIN	587	411	176	panel	scale+nzv	glm	0.11291373099371281	0.1097799708988916	0.3313306066437141
CAMPTOTHECIN	587	411	176	panel	scale+nzv+pca	glm	0.11606900584455741	0.06508519690229875	0.2551180058371003
CAMPTOTHECIN	587	411	176	mo	scale+nzv	glm	0.10637861122432521	0.21506847784753755	0.4637547604580869
CAMPTOTHECIN	587	411	176	mo	scale+nzv+pca	glm	0.11067320198376149	0.14962952229996318	0.38681975427835014
CANERTINIB	642	449	193	panel	scale+nzv	glm	0.15714628175061868	0.009973011933492426	0.09986496849993208
CANERTINIB	642	449	193	panel	scale+nzv+pca	glm	0.15747685093310884	0.002298109021492441	0.0479385963654803
CANERTINIB	642	449	193	mo	scale+nzv	glm	0.15608673407165133	0.023024056508958037	0.15173680011440216
CANERTINIB	642	449	193	mo	scale+nzv+pca	glm	0.15559267779434172	0.030046366886170753	0.1733388787496064
CAP-232, TT-232, TLN-232	637	446	191	panel	scale+nzv	glm	0.06465674861407247	0.0026661241448823403	0.05163452473764371
CAP-232, TT-232, TLN-232	637	446	191	panel	scale+nzv+pca	glm	0.06584707460864937	0.0017141543935599599	0.04140234768174336
CAP-232, TT-232, TLN-232	637	446	191	mo	scale+nzv	glm	0.061106004723838696	0.08272816773399765	0.2876250471255896
CAP-232, TT-232, TLN-232	637	446	191	mo	scale+nzv+pca	glm	0.06398955181084363	0.0176573265995629	0.13288087371613305
CARMUSTINE	532	372	160	panel	scale+nzv	glm	0.01335255822303579	0.025924624212257375	0.1610112549241741
CARMUSTINE	532	372	160	panel	scale+nzv+pca	glm	0.013485326526151883	0.007681292083661517	0.08764298080086914
CARMUSTINE	532	372	160	mo	scale+nzv	glm	0.013261243333197045	0.04139447967929116	0.2034563335934548
CARMUSTINE	532	372	160	mo	scale+nzv+pca	glm	0.013413092863114689	0.021302512942146388	0.14595380413728992
CAY10566	634	444	190	panel	scale+nzv	glm	0.10194810640604668	0.007689368211422112	0.08768904271014773
CAY10566	634	444	190	panel	scale+nzv+pca	glm	0.10216805228175847	0.027457316814939875	0.16570249489654607
CAY10566	634	444	190	mo	scale+nzv	glm	0.0990095340504987	0.06396877665555585	0.25292049473215067
CAY10566	634	444	190	mo	scale+nzv+pca	glm	0.09968029380152102	0.05267954493759982	0.2295202495153746
CAY10603	633	443	190	panel	scale+nzv	glm	0.20737335522382744	0.09344646531647738	0.3056901459263569
CAY10603	633	443	190	panel	scale+nzv+pca	glm	0.21182257744333638	0.05266384867733862	0.22948605333949734
CAY10603	633	443	190	mo	scale+nzv	glm	0.19326323945657645	0.21204609737575883	0.46048463315919547
CAY10603	633	443	190	mo	scale+nzv+pca	glm	0.2015861719676901	0.15468062697817417	0.39329458040783394
CCT007093	651	456	195	panel	scale+nzv	glm	0.02095185904427963	0.05741452647727968	0.23961328526874232
CCT007093	651	456	195	panel	scale+nzv+pca	glm	0.021247970438691574	0.030150564848602745	0.17363918005047924
CCT007093	651	456	195	mo	scale+nzv	glm	0.020746362256728594	0.07868766842295119	0.28051322325863925
CCT007093	651	456	195	mo	scale+nzv+pca	glm	0.02126888441707543	0.03212540706244055	0.1792356188441364
CCT018159	647	453	194	panel	scale+nzv	glm	0.05895275234303825	0.027310405509959668	0.16525860192425587
CCT018159	647	453	194	panel	scale+nzv+pca	glm	0.059311205553748615	0.0171688363710876	0.13102990639959872
CCT018159	647	453	194	mo	scale+nzv	glm	0.058259712429811865	0.04709088646182979	0.2170043466427108
CCT018159	647	453	194	mo	scale+nzv+pca	glm	0.05867024319793468	0.033312913042830496	0.18251825399896443
CD532	643	450	193	panel	scale+nzv	glm	0.12564113095960877	0.10282003438741556	0.3206556320843524
CD532	643	450	193	panel	scale+nzv+pca	glm	0.12592869127529016	0.11097435224973567	0.3331281318798154
CD532	643	450	193	mo	scale+nzv	glm	0.12027763608901146	0.17699010274359625	0.4207019167339225
CD532	643	450	193	mo	scale+nzv+pca	glm	0.12500104768706455	0.11429651804219994	0.33807768048512155
CEDIRANIB	552	386	166	panel	scale+nzv	glm	0.0836690560191913	NA	NA
CEDIRANIB	552	386	166	panel	scale+nzv+pca	glm	0.08270660449747402	0.028791096745172585	0.1696793939910577
CEDIRANIB	552	386	166	mo	scale+nzv	glm	0.0836690560191913	NA	NA
CEDIRANIB	552	386	166	mo	scale+nzv+pca	glm	0.08245222590742814	0.05245588692272869	0.2290325018916064
CETUXIMAB, ERBITUX	604	423	181	panel	scale+nzv	glm	0.07811141984641197	0.04706482910119535	0.21694429953606836
CETUXIMAB, ERBITUX	604	423	181	panel	scale+nzv+pca	glm	0.07841948112442323	0.035716356884850586	0.18898771622740612
CETUXIMAB, ERBITUX	604	423	181	mo	scale+nzv	glm	0.07618194163548746	0.10666964417294145	0.3266031906962047
CETUXIMAB, ERBITUX	604	423	181	mo	scale+nzv+pca	glm	0.07857074530896764	0.05868076980043956	0.24224113977695771
CGP-082996, CINK4, KIN001-021	237	166	71	panel	scale+nzv	glm	0.0546344718569033	6.015285334482948e-6	0.002452607863985384
CGP-082996, CINK4, KIN001-021	237	166	71	panel	scale+nzv+pca	glm	0.05312666201708781	0.01865640166984402	0.1365884390050784
CGP-082996, CINK4, KIN001-021	237	166	71	mo	scale+nzv	glm	0.05359455275143247	NA	NA
CGP-082996, CINK4, KIN001-021	237	166	71	mo	scale+nzv+pca	glm	0.05283649415246752	0.028060756695101937	0.16751345228100917
CGP-60474	237	166	71	panel	scale+nzv	glm	0.11286888741189925	0.005022402140364465	-0.07086890813582826
CGP-60474	237	166	71	panel	scale+nzv+pca	glm	0.1122864424834985	0.0017945499764091244	0.04236212903536748
CGP-60474	237	166	71	mo	scale+nzv	glm	0.11411106048249632	0.007010954515142249	0.0837314428105849
CGP-60474	237	166	71	mo	scale+nzv+pca	glm	0.11158671675326111	0.02371720467540077	0.1540039112341007
CHIR-99021	675	472	203	panel	scale+nzv	glm	0.056317970211020085	2.4234410874808524e-4	0.015567405331271015
CHIR-99021	675	472	203	panel	scale+nzv+pca	glm	0.05621999761910359	1.6240791485699373e-6	-0.0012743936395674365
CHIR-99021	675	472	203	mo	scale+nzv	glm	0.055647725255854125	0.013408701608932812	0.11579594815421139
CHIR-99021	675	472	203	mo	scale+nzv+pca	glm	0.055752855996875676	0.00921932456421606	0.09601731387732142
CISPLATIN	668	468	200	panel	scale+nzv	glm	0.06413853037556835	0.037059887190803636	0.1925094470170325
CISPLATIN	668	468	200	panel	scale+nzv+pca	glm	0.06412615466162494	0.04150252624159992	0.20372168819642134
CISPLATIN	668	468	200	mo	scale+nzv	glm	0.06301341829023771	0.07313179198092928	0.27042890374538237
CISPLATIN	668	468	200	mo	scale+nzv+pca	glm	0.06362294017692088	0.05381404643445304	0.23197854735826984
CMK, KIN001-128	237	166	71	panel	scale+nzv	glm	0.07946317057922637	NA	NA
CMK, KIN001-128	237	166	71	panel	scale+nzv+pca	glm	0.0795330264118652	3.884216015570102e-6	0.001970841448612775
CMK, KIN001-128	237	166	71	mo	scale+nzv	glm	0.07844472359729851	0.0650388419466593	0.2550271396276469
CMK, KIN001-128	237	166	71	mo	scale+nzv+pca	glm	0.0781176976333451	0.035862855099304376	0.1893749062027606
CP-724714	640	448	192	panel	scale+nzv	glm	0.039175526311436226	0.0032356935111638725	-0.05688315665611282
CP-724714	640	448	192	panel	scale+nzv+pca	glm	0.03755707027277177	0.005457745752737246	-0.07387655753171804
CP-724714	640	448	192	mo	scale+nzv	glm	0.03925139316649191	0.0014946377944144655	-0.03866054570766514
CP-724714	640	448	192	mo	scale+nzv+pca	glm	0.03859125570474589	0.002694092802897782	-0.05190465107192015
CP466722	639	447	192	panel	scale+nzv	glm	0.10342150254038107	0.12829719419375138	0.3581859771037266
CP466722	639	447	192	panel	scale+nzv+pca	glm	0.10540667925471615	0.09581838958603817	0.3095454564131707
CP466722	639	447	192	mo	scale+nzv	glm	0.09817471392162874	0.2316255382225347	0.4812749091969523
CP466722	639	447	192	mo	scale+nzv+pca	glm	0.1013527607667445	0.1764739379217795	0.42008801211386587
CPI-613	638	447	191	panel	scale+nzv	glm	0.07418902018712308	0.013399721037115364	0.11575716408549133
CPI-613	638	447	191	panel	scale+nzv+pca	glm	0.07427142683737782	0.012188647581881606	0.1104022082291908
CPI-613	638	447	191	mo	scale+nzv	glm	0.07411505263157195	0.015801406617909974	0.12570364600086179
CPI-613	638	447	191	mo	scale+nzv+pca	glm	0.07448445460296464	0.009908877345705575	0.09954334405526859
CRIZOTINIB	596	417	179	panel	scale+nzv	glm	0.06907927839057268	0.028451862760522622	0.16867679971034139
CRIZOTINIB	596	417	179	panel	scale+nzv+pca	glm	0.06819874065383687	0.05727940746646527	0.23933116693499254
CRIZOTINIB	596	417	179	mo	scale+nzv	glm	0.06909813091545745	0.027819544495956403	0.16679191975619323
CRIZOTINIB	596	417	179	mo	scale+nzv+pca	glm	0.06852060593286499	0.045451909845715815	0.21319453521541262
CUDC-101	627	439	188	panel	scale+nzv	glm	0.2036466024908078	0.03589981015269088	0.18947245222641437
CUDC-101	627	439	188	panel	scale+nzv+pca	glm	0.20479040278934782	0.016846167922088928	0.12979278840555405
CUDC-101	627	439	188	mo	scale+nzv	glm	0.19057223119447694	0.1447042524216442	0.38040012147953395
CUDC-101	627	439	188	mo	scale+nzv+pca	glm	0.19812877784892757	0.07675805906232074	0.27705244821571373
CX-5461	636	445	191	panel	scale+nzv	glm	0.15738374402289082	0.1717908812048983	0.41447663529431705
CX-5461	636	445	191	panel	scale+nzv+pca	glm	0.16281898500727204	0.13284828334821816	0.3644835844701626
CX-5461	636	445	191	mo	scale+nzv	glm	0.15322044073549357	0.22288389375608791	0.4721058077974554
CX-5461	636	445	191	mo	scale+nzv+pca	glm	0.154772370466324	0.21144984524573043	0.4598367593458905
CYCLOPAMINE	233	163	70	panel	scale+nzv	glm	0.031839191109033244	NA	NA
CYCLOPAMINE	233	163	70	panel	scale+nzv+pca	glm	0.03223322785433975	0.031052005861489672	-0.17621579345078486
CYCLOPAMINE	233	163	70	mo	scale+nzv	glm	0.031839191109033244	NA	NA
CYCLOPAMINE	233	163	70	mo	scale+nzv+pca	glm	0.03250810303376359	0.013157598132037283	-0.11470657405762445
CYCLOPHOSPHAMIDE	552	386	166	panel	scale+nzv	glm	0.012638328798295776	0.030647687056464895	0.17506480816104902
CYCLOPHOSPHAMIDE	552	386	166	panel	scale+nzv+pca	glm	0.012711238987449757	0.01730715109546469	0.13155664595703515
CYCLOPHOSPHAMIDE	552	386	166	mo	scale+nzv	glm	0.01230175830569657	0.08686535576578011	0.294729292344314
CYCLOPHOSPHAMIDE	552	386	166	mo	scale+nzv+pca	glm	0.012583471862760669	0.04212837606365536	0.20525198187509752
CYTARABINE	666	466	200	panel	scale+nzv	glm	0.1604500172208774	0.043907598906611285	0.20954140141416275
CYTARABINE	666	466	200	panel	scale+nzv+pca	glm	0.16447389037919466	0.008233851471936506	0.0907405723584357
CYTARABINE	666	466	200	mo	scale+nzv	glm	0.1570039572212798	0.08399246620214994	0.2898145375962875
CYTARABINE	666	466	200	mo	scale+nzv+pca	glm	0.1615073190435436	0.03085486212758487	0.1756555211986941
CZC24832	532	372	160	panel	scale+nzv	glm	0.013783486367508093	0.037849984927285724	0.1945507258462063
CZC24832	532	372	160	panel	scale+nzv+pca	glm	0.013961039003016765	0.012027983105799426	0.10967216194549748
CZC24832	532	372	160	mo	scale+nzv	glm	0.013616627275172958	0.06261390631602483	0.25022770892933666
CZC24832	532	372	160	mo	scale+nzv+pca	glm	0.013893044346333835	0.02685761287251011	0.16388292428593684
DABRAFENIB	653	457	196	panel	scale+nzv	glm	0.1616361852830909	0.3039259683533366	0.5512948107440669
DABRAFENIB	653	457	196	panel	scale+nzv+pca	glm	0.18154836542548172	0.06788656823604876	0.2605505099516191
DABRAFENIB	653	457	196	mo	scale+nzv	glm	0.15385753921312584	0.37383581968467394	0.6114211475608886
DABRAFENIB	653	457	196	mo	scale+nzv+pca	glm	0.17811667672257586	0.10199342567042892	0.31936409577538444
DACINOSTAT	615	430	185	panel	scale+nzv	glm	0.16439104180378922	NA	NA
DACINOSTAT	615	430	185	panel	scale+nzv+pca	glm	0.16424509759632705	0.0010822460540045413	0.03289750832516866
DACINOSTAT	615	430	185	mo	scale+nzv	glm	0.15339239624566345	0.15527055938656498	0.39404385464890196
DACINOSTAT	615	430	185	mo	scale+nzv+pca	glm	0.16240091778106214	0.032405080814188	0.18001411281948979
DACOMITINIB	640	448	192	panel	scale+nzv	glm	0.14404489760804368	0.02809245441267331	0.1676080380312153
DACOMITINIB	640	448	192	panel	scale+nzv+pca	glm	0.1451510066297412	0.009546257028473636	0.09770494884330903
DACOMITINIB	640	448	192	mo	scale+nzv	glm	0.14333545515756974	0.03880666696497452	0.19699407850231063
DACOMITINIB	640	448	192	mo	scale+nzv+pca	glm	0.143749879529062	0.04139149009491251	0.20344898646813778
DACTINOMYCIN	580	406	174	panel	scale+nzv	glm	0.12981858146488376	NA	NA
DACTINOMYCIN	580	406	174	panel	scale+nzv+pca	glm	0.12981858146488376	NA	NA
DACTINOMYCIN	580	406	174	mo	scale+nzv	glm	0.12981858146488376	NA	NA
DACTINOMYCIN	580	406	174	mo	scale+nzv+pca	glm	0.1298195301045626	6.888223641718094e-6	-0.0026245425585648434
DASATINIB	603	422	181	panel	scale+nzv	glm	0.196675268369688	0.008780860799963304	0.09370624739025303
DASATINIB	603	422	181	panel	scale+nzv+pca	glm	0.19719329012992942	0.0012973720033923393	0.03601905056206145
DASATINIB	603	422	181	mo	scale+nzv	glm	0.19280354482958362	0.03809812297319136	0.1951874047503869
DASATINIB	603	422	181	mo	scale+nzv+pca	glm	0.19603012074714735	0.013808689619631371	0.11751038090156704
DIHYDROROTENONE	530	371	159	panel	scale+nzv	glm	0.10500332349890679	NA	NA
DIHYDROROTENONE	530	371	159	panel	scale+nzv+pca	glm	0.10500332349890679	NA	NA
DIHYDROROTENONE	530	371	159	mo	scale+nzv	glm	0.10433764591870574	0.012059242696748303	0.10981458326082334
DIHYDROROTENONE	530	371	159	mo	scale+nzv+pca	glm	0.1049820506012292	0.0010553944254011838	0.03248683464730265
DINACICLIB	532	372	160	panel	scale+nzv	glm	0.13357533595626497	0.1442820474428351	0.3798447675601641
DINACICLIB	532	372	160	panel	scale+nzv+pca	glm	0.13476714881340549	0.14927425840727876	0.38636027022363306
DINACICLIB	532	372	160	mo	scale+nzv	glm	0.12732587733196055	0.22107218737166284	0.4701831423729086
DINACICLIB	532	372	160	mo	scale+nzv+pca	glm	0.13196509546219828	0.17739554150185385	0.42118350098484847
DMOG, DIMETHYLOXALYLGLCINE	617	432	185	panel	scale+nzv	glm	0.19434675945936386	4.568609836591251e-4	0.021374306624055085
DMOG, DIMETHYLOXALYLGLCINE	617	432	185	panel	scale+nzv+pca	glm	0.19514771590600843	9.91147453341581e-4	0.03148249439516477
DMOG, DIMETHYLOXALYLGLCINE	617	432	185	mo	scale+nzv	glm	0.19033528497529906	0.03386872867327501	0.1840345855356406
DMOG, DIMETHYLOXALYLGLCINE	617	432	185	mo	scale+nzv+pca	glm	0.19088149135472013	0.02545983061073304	0.1595613694185815
DOCETAXEL	668	468	200	panel	scale+nzv	glm	0.14385236116479155	0.12225720955663441	0.3496529844812345
DOCETAXEL	668	468	200	panel	scale+nzv+pca	glm	0.14507078779367696	0.12687437148676287	0.35619428895865646
DOCETAXEL	668	468	200	mo	scale+nzv	glm	0.13291059870524363	0.28196855649376346	0.531007115294855
DOCETAXEL	668	468	200	mo	scale+nzv+pca	glm	0.13968518563689938	0.22464493795953352	0.47396723300195925
DORAMAPIMOD	646	452	194	panel	scale+nzv	glm	0.036012382747271345	NA	NA
DORAMAPIMOD	646	452	194	panel	scale+nzv+pca	glm	0.03599882271797015	0.0010068770206628876	0.031731325542165546
DORAMAPIMOD	646	452	194	mo	scale+nzv	glm	0.036012382747271345	NA	NA
DORAMAPIMOD	646	452	194	mo	scale+nzv+pca	glm	0.03597871893599797	0.0019463332906982554	0.04411726748902583
DOXORUBICIN	614	430	184	panel	scale+nzv	glm	0.20479521983571955	0.021126088698924617	0.14534816372739154
DOXORUBICIN	614	430	184	panel	scale+nzv+pca	glm	0.20736110822398304	1.509788091761751e-4	0.01228734345479832
DOXORUBICIN	614	430	184	mo	scale+nzv	glm	0.2048669434348021	0.013085621224370292	0.11439240020372984
DOXORUBICIN	614	430	184	mo	scale+nzv+pca	glm	0.2065176145243152	0.006275646328531408	0.07921897707324557
EEF2K INHIBITOR, A-484954	641	449	192	panel	scale+nzv	glm	0.0062446399632396	NA	NA
EEF2K INHIBITOR, A-484954	641	449	192	panel	scale+nzv+pca	glm	0.006228420242302676	0.010144575788475791	0.10072028489075967
EEF2K INHIBITOR, A-484954	641	449	192	mo	scale+nzv	glm	0.006220652772188874	0.00986020701698088	0.0992985751004559
EEF2K INHIBITOR, A-484954	641	449	192	mo	scale+nzv+pca	glm	0.006215812482559572	0.01154737707128963	0.10745872263939131
EHT 1864	654	458	196	panel	scale+nzv	glm	0.03786730306253682	0.018455567128752015	0.1358512684105379
EHT 1864	654	458	196	panel	scale+nzv+pca	glm	0.0380056536703166	0.009874711131057748	0.09937158110374288
EHT 1864	654	458	196	mo	scale+nzv	glm	0.037734980098711915	0.024905880959427737	0.15781597181346296
EHT 1864	654	458	196	mo	scale+nzv+pca	glm	0.037965477982236984	0.012485333992397592	0.11173779124538659
ELEPHANTIN	532	372	160	panel	scale+nzv	glm	0.06377001751807568	0.2182250092766842	0.46714559751397017
ELEPHANTIN	532	372	160	panel	scale+nzv+pca	glm	0.06834004699511309	0.16156515337695107	0.4019516804007057
ELEPHANTIN	532	372	160	mo	scale+nzv	glm	0.061132561423733	0.27654472305858124	0.5258751972270429
ELEPHANTIN	532	372	160	mo	scale+nzv+pca	glm	0.06613058333482194	0.22896151589316607	0.47849923290760465
ELESCLOMOL	651	456	195	panel	scale+nzv	glm	0.18477935333670067	2.220373011411073e-4	0.014900916117511275
ELESCLOMOL	651	456	195	panel	scale+nzv+pca	glm	0.18283033752191172	0.004724013524337674	0.06873145949518077
ELESCLOMOL	651	456	195	mo	scale+nzv	glm	0.1734997674944577	0.09335123712977339	0.3055343468904493
ELESCLOMOL	651	456	195	mo	scale+nzv+pca	glm	0.1795064751909134	0.030163107829581332	0.17367529424066433
EMBELIN	616	431	185	panel	scale+nzv	glm	0.10604504236660535	NA	NA
EMBELIN	616	431	185	panel	scale+nzv+pca	glm	0.10633688907385742	0.001738641883441501	0.041697024875181454
EMBELIN	616	431	185	mo	scale+nzv	glm	0.10554734380209493	0.022397996388168136	0.1496596017239393
EMBELIN	616	431	185	mo	scale+nzv+pca	glm	0.10470318589681127	0.029068918410042895	0.1704960949993955
ENTINOSTAT	592	414	178	panel	scale+nzv	glm	0.12256319530688484	0.05756611655220098	0.23992939909940378
ENTINOSTAT	592	414	178	panel	scale+nzv+pca	glm	0.12200777955385725	0.06499483713425462	0.2549408502658109
ENTINOSTAT	592	414	178	mo	scale+nzv	glm	0.11962406451735572	0.12783366276598382	0.35753833747723307
ENTINOSTAT	592	414	178	mo	scale+nzv+pca	glm	0.11917951615107435	0.1098489984958579	0.33143475752530527
ENZASTAURIN	636	445	191	panel	scale+nzv	glm	0.1326135627571566	1.9055837117334308e-4	0.013804288144389883
ENZASTAURIN	636	445	191	panel	scale+nzv+pca	glm	0.1309888197975276	0.031399478975002434	0.1771989813035121
ENZASTAURIN	636	445	191	mo	scale+nzv	glm	0.1290267872065066	0.052335703820756786	0.22876998015639374
ENZASTAURIN	636	445	191	mo	scale+nzv+pca	glm	0.13002110810495532	0.046561806788451406	0.21578184999774982
EPIRUBICIN	552	386	166	panel	scale+nzv	glm	0.12224380087773482	0.18497231724090377	0.4300840815944061
EPIRUBICIN	552	386	166	panel	scale+nzv+pca	glm	0.12488837518082242	0.16167523370533726	0.40208858937470143
EPIRUBICIN	552	386	166	mo	scale+nzv	glm	0.11174191733749696	0.32693465140926997	0.5717819964018367
EPIRUBICIN	552	386	166	mo	scale+nzv+pca	glm	0.11757171253836991	0.28671012886877134	0.5354531995130586
EPOTHILONE B, GNF-PF-193	611	428	183	panel	scale+nzv	glm	0.20124056500941248	2.155636845178359e-5	0.00464288363539122
EPOTHILONE B, GNF-PF-193	611	428	183	panel	scale+nzv+pca	glm	0.2002132864759565	8.098250829990449e-5	-0.008999028186415714
EPOTHILONE B, GNF-PF-193	611	428	183	mo	scale+nzv	glm	0.19716237681919715	0.02464419943771085	0.1569847108406129
EPOTHILONE B, GNF-PF-193	611	428	183	mo	scale+nzv+pca	glm	0.19867614346959944	0.008925947560053035	0.09447723302496235
EPZ-5676	581	407	174	panel	scale+nzv	glm	0.007595905408643595	0.08156023445183759	0.2855875250283835
EPZ-5676	581	407	174	panel	scale+nzv+pca	glm	0.00774947093328434	0.035859075177162705	0.18936492594237905
EPZ-5676	581	407	174	mo	scale+nzv	glm	0.007303049797529106	0.16534779347443418	0.40662979904875907
EPZ-5676	581	407	174	mo	scale+nzv+pca	glm	0.0076435648580684985	0.08589795363830592	0.2930835267262661
EPZ004777	581	407	174	panel	scale+nzv	glm	0.011002725689151546	0.026468947065086623	0.16269279967191733
EPZ004777	581	407	174	panel	scale+nzv+pca	glm	0.011263407760043288	5.486634535974336e-4	-0.023423566201529467
EPZ004777	581	407	174	mo	scale+nzv	glm	0.010703922065710882	0.08075670628805412	0.28417724449373866
EPZ004777	581	407	174	mo	scale+nzv+pca	glm	0.011031258795571666	0.018321085384840653	0.13535540397354165
ERK5-IN-1	233	163	70	panel	scale+nzv	glm	0.06596632984033898	NA	NA
ERK5-IN-1	233	163	70	panel	scale+nzv+pca	glm	0.06541759025478905	0.01925577417363489	0.1387651763722977
ERK5-IN-1	233	163	70	mo	scale+nzv	glm	0.06498246251188192	0.062370467440683	0.2497408005126175
ERK5-IN-1	233	163	70	mo	scale+nzv+pca	glm	0.06572019748080743	0.008022991019133478	0.08957115059623538
ERLOTINIB	604	423	181	panel	scale+nzv	glm	0.05878470786411002	0.06881475020405596	0.2623256567780894
ERLOTINIB	604	423	181	panel	scale+nzv+pca	glm	0.05986536342075132	0.04144433755232906	0.20357882392903506
ERLOTINIB	604	423	181	mo	scale+nzv	glm	0.05687223211531845	0.18724413632302925	0.43271715510599906
