drug	total_sample_count	training_sample_count	testing_sample_count	type	pp	model	RMSE	Rsquare	COR	run
byl719	141	99	42	mo	scale+nzv	glm	0.18188219800778382	0.15323474144689259	0.3914520934250992	iter_6
byl719	141	99	42	mo	scale+nzv+pca	glm	0.19272646265539614	0.016601907626188576	0.12884839007992524	iter_6
byl719-ljm716	134	94	40	panel	scale+nzv	glm	0.21411988384378705	0.02069915366452544	0.14387200445022458	iter_6
byl719-ljm716	134	94	40	panel	scale+nzv+pca	glm	0.21123341238748528	0.05242930478047737	0.22897446316233033	iter_6
byl719-ljm716	134	94	40	mo	scale+nzv	glm	0.20261111517180233	0.10535065249383858	0.3245776524867949	iter_6
byl719-ljm716	134	94	40	mo	scale+nzv+pca	glm	0.19773913834795523	0.2523532455465149	0.5023477336930215	iter_6
cgm097	132	92	40	panel	scale+nzv	glm	0.19345047498647525	0.0033551608971270123	0.057923750717016005	iter_6
cgm097	132	92	40	panel	scale+nzv+pca	glm	0.19462161536873293	0.0024520895333908	-0.049518577659205844	iter_6
cgm097	132	92	40	mo	scale+nzv	glm	0.192707359894184	0.015002540915147	0.12248485994255372	iter_6
cgm097	132	92	40	mo	scale+nzv+pca	glm	0.19057127096228185	0.1684522942248829	0.4104294022421918	iter_6
clr457	159	111	48	panel	scale+nzv	glm	0.11970045913093283	NA	NA	iter_6
clr457	159	111	48	panel	scale+nzv+pca	glm	0.11988152240560078	5.557447695522617e-5	-0.007454829103019476	iter_6
clr457	159	111	48	mo	scale+nzv	glm	0.11385783995178475	0.1055216568398962	0.3248409716151831	iter_6
clr457	159	111	48	mo	scale+nzv+pca	glm	0.11700021286569079	0.1516515278688103	0.389424611277729	iter_6
hdm201	137	96	41	panel	scale+nzv	glm	0.20998662710888502	0.029248246787435584	0.171021188124266	iter_6
hdm201	137	96	41	panel	scale+nzv+pca	glm	0.21097134819318764	0.004813961508186664	0.0693827176477447	iter_6
hdm201	137	96	41	mo	scale+nzv	glm	0.2086772447438511	0.024305954366518008	0.1559036701508916	iter_6
hdm201	137	96	41	mo	scale+nzv+pca	glm	0.196961128195276	0.16528310627571394	0.4065502506157313	iter_6
lee011	172	120	52	panel	scale+nzv	glm	0.17706444442716893	NA	NA	iter_6
lee011	172	120	52	panel	scale+nzv+pca	glm	0.17706444442716893	NA	NA	iter_6
lee011	172	120	52	mo	scale+nzv	glm	0.17706444442716893	NA	NA	iter_6
lee011	172	120	52	mo	scale+nzv+pca	glm	0.17706444442716893	NA	NA	iter_6
ljm716	38	27	11	panel	scale+nzv	glm	0.17778952299218928	0.07416242162474423	-0.2723277834242115	iter_6
ljm716	38	27	11	panel	scale+nzv+pca	glm	0.152290523708475	NA	NA	iter_6
ljm716	38	27	11	mo	scale+nzv	glm	0.14305934029233863	0.14336122579532753	0.3786307248432535	iter_6
ljm716	38	27	11	mo	scale+nzv+pca	glm	0.15658195814556083	0.14085165879556008	0.3753020900495494	iter_6
lka136	115	80	35	panel	scale+nzv	glm	0.2175892338006797	0.012388176940943418	-0.11130218749397254	iter_6
lka136	115	80	35	panel	scale+nzv+pca	glm	0.2129844622654985	NA	NA	iter_6
lka136	115	80	35	mo	scale+nzv	glm	0.2196191954647874	0.00204600468527377	0.0452327833023104	iter_6
lka136	115	80	35	mo	scale+nzv+pca	glm	0.21553558753563468	0.0023147958006777833	-0.04811232483135463	iter_6
llm871	63	44	19	panel	scale+nzv	glm	0.2735146628707704	0.0122441236863383	0.11065316844238261	iter_6
llm871	63	44	19	panel	scale+nzv+pca	glm	0.28462957565329056	0.003987638129482781	-0.06314774841182211	iter_6
llm871	63	44	19	mo	scale+nzv	glm	0.27018707098463657	0.049479336641020555	0.22243951231968784	iter_6
llm871	63	44	19	mo	scale+nzv+pca	glm	0.25959452507959924	0.10445152442401649	0.32318961063749635	iter_6
bgj398	63	44	19	panel	scale+nzv	glm	0.2393061799086816	0.07939861164471586	0.28177759251706985	iter_7
bgj398	63	44	19	panel	scale+nzv+pca	glm	0.24137588509138952	0.0915896531375372	0.3026378250277668	iter_7
bgj398	63	44	19	mo	scale+nzv	glm	0.24673341545348002	0.009920811941415447	0.09960327274450095	iter_7
bgj398	63	44	19	mo	scale+nzv+pca	glm	0.24588084612630234	0.016463456497454208	0.12831000154880448	iter_7
binimetinib	173	121	52	panel	scale+nzv	glm	0.14383718798767192	NA	NA	iter_7
binimetinib	173	121	52	panel	scale+nzv+pca	glm	0.14185228728999394	0.052539822626831406	0.22921566837114649	iter_7
binimetinib	173	121	52	mo	scale+nzv	glm	0.13447791254999777	0.1721894013137147	0.4149571077999685	iter_7
binimetinib	173	121	52	mo	scale+nzv+pca	glm	0.1386397443323432	0.20682158109836288	0.4547764078075762	iter_7
bkm120	170	119	51	panel	scale+nzv	glm	0.19115970982398214	0.0020135121099921394	-0.04487217523134063	iter_7
bkm120	170	119	51	panel	scale+nzv+pca	glm	0.18985360742065627	0.0014941216896594348	-0.03865387030634106	iter_7
bkm120	170	119	51	mo	scale+nzv	glm	0.18835717263816867	0.02996464327842851	0.1731029846028904	iter_7
bkm120	170	119	51	mo	scale+nzv+pca	glm	0.1896399508245867	0.014313013089096008	0.1196370055170891	iter_7
byl719	141	99	42	panel	scale+nzv	glm	0.21838654174956953	0.018088379283565072	0.13449304548401406	iter_7
byl719	141	99	42	panel	scale+nzv+pca	glm	0.22718532302047423	0.026649945779510346	-0.1632481111054898	iter_7
byl719	141	99	42	mo	scale+nzv	glm	0.2041112188508834	0.2569193890775178	0.5068721624606325	iter_7
byl719	141	99	42	mo	scale+nzv+pca	glm	0.20253361949120394	0.26278167623057214	0.5126223524492198	iter_7
byl719-ljm716	134	94	40	panel	scale+nzv	glm	0.17845445982828212	0.034807856508371864	0.18656863752617123	iter_7
byl719-ljm716	134	94	40	panel	scale+nzv+pca	glm	0.19864608313846718	0.08570395950802356	-0.29275238599885667	iter_7
byl719-ljm716	134	94	40	mo	scale+nzv	glm	0.16613485896524485	0.1575627685549129	0.39694176972814654	iter_7
byl719-ljm716	134	94	40	mo	scale+nzv+pca	glm	0.17161658325343013	0.10599867202719267	0.32557437249757953	iter_7
cgm097	132	92	40	panel	scale+nzv	glm	0.15843193006415407	NA	NA	iter_7
cgm097	132	92	40	panel	scale+nzv+pca	glm	0.15843193006415407	NA	NA	iter_7
cgm097	132	92	40	mo	scale+nzv	glm	0.15466759009815587	0.05801395559893863	0.2408608635684482	iter_7
cgm097	132	92	40	mo	scale+nzv+pca	glm	0.15725313656281562	0.023693285727115602	0.15392623469414043	iter_7
clr457	159	111	48	panel	scale+nzv	glm	0.11763014137856945	0.015995722938728918	-0.12647419870759774	iter_7
clr457	159	111	48	panel	scale+nzv+pca	glm	0.11438664090356666	0.01734501041545484	0.13170045715734946	iter_7
clr457	159	111	48	mo	scale+nzv	glm	0.11735164726915501	0.01062648912031504	-0.1030848636818958	iter_7
clr457	159	111	48	mo	scale+nzv+pca	glm	0.111187710440784	0.07315393803877915	0.2704698468198981	iter_7
hdm201	137	96	41	panel	scale+nzv	glm	0.17862741409520924	0.003057423934411044	0.055293977379196044	iter_7
hdm201	137	96	41	panel	scale+nzv+pca	glm	0.17349282277761932	0.04058612788791346	0.20145999078703805	iter_7
hdm201	137	96	41	mo	scale+nzv	glm	0.18880204661030991	3.092977150211107e-4	-0.01758686200039992	iter_7
hdm201	137	96	41	mo	scale+nzv+pca	glm	0.18115262822205744	0.04121472635893631	0.20301410384240873	iter_7
lee011	172	120	52	panel	scale+nzv	glm	0.17427571189393687	0.0021789580288040034	-0.0466793105005205	iter_7
lee011	172	120	52	panel	scale+nzv+pca	glm	0.1734086787749501	0.0038875323624662	0.062350079089494345	iter_7
lee011	172	120	52	mo	scale+nzv	glm	0.17282811317904462	0.005718019376005143	0.07561758642012546	iter_7
lee011	172	120	52	mo	scale+nzv+pca	glm	0.17367145684719468	NA	NA	iter_7
ljm716	38	27	11	panel	scale+nzv	glm	0.12426155109575986	NA	NA	iter_7
ljm716	38	27	11	panel	scale+nzv+pca	glm	0.13314655287459473	0.12936550858834248	-0.3596741700321869	iter_7
ljm716	38	27	11	mo	scale+nzv	glm	0.19989028829898836	0.30904333950147006	-0.5559166659684436	iter_7
ljm716	38	27	11	mo	scale+nzv+pca	glm	0.19617255087491828	0.24458604553754754	-0.4945564128969996	iter_7
lka136	115	80	35	panel	scale+nzv	glm	0.22476025698264296	NA	NA	iter_7
lka136	115	80	35	panel	scale+nzv+pca	glm	0.2293079034574851	0.07094317432042747	-0.2663515990573878	iter_7
lka136	115	80	35	mo	scale+nzv	glm	0.2274831475878266	1.6049358963838084e-5	0.00400616511939262	iter_7
lka136	115	80	35	mo	scale+nzv+pca	glm	0.220527349620435	0.06714256345575054	0.2591188211144658	iter_7
llm871	63	44	19	panel	scale+nzv	glm	0.32011835813755546	5.622092368352368e-4	-0.023710951833176938	iter_7
llm871	63	44	19	panel	scale+nzv+pca	glm	0.3492281077421925	0.009625178588863052	-0.09810799452064572	iter_7
llm871	63	44	19	mo	scale+nzv	glm	0.2984229847836453	0.022125938581968308	0.14874790278174785	iter_7
llm871	63	44	19	mo	scale+nzv+pca	glm	0.29484524922927996	0.01903729154868642	0.13797569187609252	iter_7
bgj398	63	44	19	panel	scale+nzv	glm	0.15154447632620957	0.05637613271607999	-0.23743658672597193	iter_8
bgj398	63	44	19	panel	scale+nzv+pca	glm	0.17651048942392067	0.045105097888800204	-0.21237960798720815	iter_8
bgj398	63	44	19	mo	scale+nzv	glm	0.15341171780722734	0.025443810447795607	-0.15951116088786893	iter_8
bgj398	63	44	19	mo	scale+nzv+pca	glm	0.13217563427776435	7.349586838217646e-4	0.02711012142764699	iter_8
binimetinib	173	121	52	panel	scale+nzv	glm	0.11177799878019687	9.029170345020738e-5	0.009502194664929117	iter_8
binimetinib	173	121	52	panel	scale+nzv+pca	glm	0.10929792729731727	8.4959327682238e-5	-0.009217338427237985	iter_8
binimetinib	173	121	52	mo	scale+nzv	glm	0.10338905752094345	0.1247892390490931	0.3532552038528139	iter_8
binimetinib	173	121	52	mo	scale+nzv+pca	glm	0.10349236544670253	0.07036745208015707	0.26526864134336925	iter_8
bkm120	170	119	51	panel	scale+nzv	glm	0.17275837097817928	0.025885595825612607	-0.1608900115781356	iter_8
bkm120	170	119	51	panel	scale+nzv+pca	glm	0.16546963684669513	NA	NA	iter_8
bkm120	170	119	51	mo	scale+nzv	glm	0.166724939627201	0.008896797863864008	0.09432283850618581	iter_8
bkm120	170	119	51	mo	scale+nzv+pca	glm	0.15967410148378003	0.07602656820358283	0.27572915733303005	iter_8
byl719	141	99	42	panel	scale+nzv	glm	0.18182671211641757	8.613767534344249e-4	-0.029349220661449002	iter_8
byl719	141	99	42	panel	scale+nzv+pca	glm	0.18000728703708593	0.01897437525503848	0.1377475054403472	iter_8
byl719	141	99	42	mo	scale+nzv	glm	0.16819217130565853	0.17357001295850089	0.4166173459644964	iter_8
byl719	141	99	42	mo	scale+nzv+pca	glm	0.16695459551207759	0.19391071610423402	0.4403529449251294	iter_8
byl719-ljm716	134	94	40	panel	scale+nzv	glm	0.10701008158834101	0.018448952096418527	-0.13582691963089838	iter_8
byl719-ljm716	134	94	40	panel	scale+nzv+pca	glm	0.10975832024981504	0.010654274521253613	-0.10321954524824072	iter_8
byl719-ljm716	134	94	40	mo	scale+nzv	glm	0.09944642343343055	0.011032980143125117	0.10503799380759858	iter_8
byl719-ljm716	134	94	40	mo	scale+nzv+pca	glm	0.10338977631748508	0.014420442622971362	0.12008514738705767	iter_8
cgm097	132	92	40	panel	scale+nzv	glm	0.1967697064760441	NA	NA	iter_8
cgm097	132	92	40	panel	scale+nzv+pca	glm	0.1967697064760441	NA	NA	iter_8
cgm097	132	92	40	mo	scale+nzv	glm	0.19316982311471903	0.05735300388973536	0.23948487194337634	iter_8
cgm097	132	92	40	mo	scale+nzv+pca	glm	0.1967697064760441	NA	NA	iter_8
clr457	159	111	48	panel	scale+nzv	glm	0.11549100293990772	NA	NA	iter_8
clr457	159	111	48	panel	scale+nzv+pca	glm	0.11663661687369394	5.374550607014892e-5	0.007331132659429164	iter_8
clr457	159	111	48	mo	scale+nzv	glm	0.11673504866735546	0.005643502076567876	0.07512324591341801	iter_8
clr457	159	111	48	mo	scale+nzv+pca	glm	0.11353950798976532	0.03682497894291199	0.19189835575875056	iter_8
hdm201	137	96	41	panel	scale+nzv	glm	0.218804562279208	NA	NA	iter_8
hdm201	137	96	41	panel	scale+nzv+pca	glm	0.22062507940132164	0.007797428010305525	-0.08830304643841867	iter_8
hdm201	137	96	41	mo	scale+nzv	glm	0.20923004977536017	0.08876063205474473	0.29792722610520966	iter_8
hdm201	137	96	41	mo	scale+nzv+pca	glm	0.21020994409935992	0.10500067373288131	0.32403807451113104	iter_8
lee011	172	120	52	panel	scale+nzv	glm	0.20728735675671395	0.009776882502972284	0.0988781194348491	iter_8
lee011	172	120	52	panel	scale+nzv+pca	glm	0.20816260732036387	NA	NA	iter_8
lee011	172	120	52	mo	scale+nzv	glm	0.20728735675671395	0.009776882502972284	0.0988781194348491	iter_8
lee011	172	120	52	mo	scale+nzv+pca	glm	0.21092063540435174	0.0035716694919510714	-0.0597634461184349	iter_8
ljm716	38	27	11	panel	scale+nzv	glm	0.15866165295576412	NA	NA	iter_8
ljm716	38	27	11	panel	scale+nzv+pca	glm	0.1601446237220289	NA	NA	iter_8
ljm716	38	27	11	mo	scale+nzv	glm	0.2562448724592703	0.0746353316099128	-0.27319467712587814	iter_8
ljm716	38	27	11	mo	scale+nzv+pca	glm	0.1949788254371186	1.8844123740748532e-4	0.013727390043540153	iter_8
lka136	115	80	35	panel	scale+nzv	glm	0.18526250465433766	0.0015253567426956104	-0.039055815734607445	iter_8
lka136	115	80	35	panel	scale+nzv+pca	glm	0.18645074063740735	NA	NA	iter_8
lka136	115	80	35	mo	scale+nzv	glm	0.18586900327117245	NA	NA	iter_8
lka136	115	80	35	mo	scale+nzv+pca	glm	0.18474468951886583	0.04359088844850159	0.2087843108293858	iter_8
llm871	63	44	19	panel	scale+nzv	glm	0.280187142860451	0.09658388752225701	-0.3107794837537655	iter_8
llm871	63	44	19	panel	scale+nzv+pca	glm	0.2762946229553141	0.0029792971073000656	-0.05458293787714313	iter_8
llm871	63	44	19	mo	scale+nzv	glm	0.27613911948430436	0.06470803044060545	-0.25437773180961704	iter_8
llm871	63	44	19	mo	scale+nzv+pca	glm	0.2703715354402965	0.0016540095789336806	-0.040669516581017785	iter_8
bgj398	63	44	19	panel	scale+nzv	glm	0.18874311849025244	0.05561377105178551	0.23582572177730213	iter_9
bgj398	63	44	19	panel	scale+nzv+pca	glm	0.19538629074620895	0.013212167054963787	0.11494419104488833	iter_9
bgj398	63	44	19	mo	scale+nzv	glm	0.23350914268573844	0.00800932448066038	-0.08949482935153505	iter_9
bgj398	63	44	19	mo	scale+nzv+pca	glm	0.2082747405621795	0.02742435699409566	-0.165603010220514	iter_9
binimetinib	173	121	52	panel	scale+nzv	glm	0.11737716383252442	NA	NA	iter_9
binimetinib	173	121	52	panel	scale+nzv+pca	glm	0.11737716383252442	NA	NA	iter_9
binimetinib	173	121	52	mo	scale+nzv	glm	0.11921821268602739	0.051489025308581994	0.22691193293562592	iter_9
binimetinib	173	121	52	mo	scale+nzv+pca	glm	0.1160486691339318	0.04031478721946761	0.20078542581439424	iter_9
bkm120	170	119	51	panel	scale+nzv	glm	0.1901047618233801	NA	NA	iter_9
bkm120	170	119	51	panel	scale+nzv+pca	glm	0.19308762969888627	0.01370293510360075	-0.11705953657690923	iter_9
bkm120	170	119	51	mo	scale+nzv	glm	0.1886951907085978	0.019920488744470832	0.14113996154339434	iter_9
bkm120	170	119	51	mo	scale+nzv+pca	glm	0.18319416950679623	0.07076967779485512	0.26602570889832267	iter_9
byl719	141	99	42	panel	scale+nzv	glm	0.183158213093819	NA	NA	iter_9
byl719	141	99	42	panel	scale+nzv+pca	glm	0.183158213093819	NA	NA	iter_9
byl719	141	99	42	mo	scale+nzv	glm	0.17092691990755585	0.1277834321074367	0.3574680854390175	iter_9
byl719	141	99	42	mo	scale+nzv+pca	glm	0.18198763522529604	0.035790234874407204	0.189183072378073	iter_9
byl719-ljm716	134	94	40	panel	scale+nzv	glm	0.1869685780601122	0.022349894754603767	0.14949881188358577	iter_9
byl719-ljm716	134	94	40	panel	scale+nzv+pca	glm	0.1967878105433832	5.940111172377115e-6	-0.002437234328573499	iter_9
byl719-ljm716	134	94	40	mo	scale+nzv	glm	0.17791346472971925	0.10323987722368923	0.3213096282772884	iter_9
byl719-ljm716	134	94	40	mo	scale+nzv+pca	glm	0.1772033281649981	0.11395391240555831	0.33757060358621027	iter_9
cgm097	132	92	40	panel	scale+nzv	glm	0.17825957191067335	NA	NA	iter_9
cgm097	132	92	40	panel	scale+nzv+pca	glm	0.17825957191067335	NA	NA	iter_9
cgm097	132	92	40	mo	scale+nzv	glm	0.17825957191067335	NA	NA	iter_9
cgm097	132	92	40	mo	scale+nzv+pca	glm	0.17660096658790742	0.0262158050035543	0.16191295502075892	iter_9
clr457	159	111	48	panel	scale+nzv	glm	0.10136980218179222	NA	NA	iter_9
clr457	159	111	48	panel	scale+nzv+pca	glm	0.10151578771698255	0.009922396998605608	-0.09961122927966308	iter_9
clr457	159	111	48	mo	scale+nzv	glm	0.10216954567874395	0.03429904384067786	0.1852000103690004	iter_9
clr457	159	111	48	mo	scale+nzv+pca	glm	0.10027482635556151	0.04517747559864123	0.2125499367175658	iter_9
hdm201	137	96	41	panel	scale+nzv	glm	0.20267164119585532	0.005165248048755929	0.07186966014081275	iter_9
hdm201	137	96	41	panel	scale+nzv+pca	glm	0.20017012289915573	0.021769778433036974	0.1475458519682508	iter_9
hdm201	137	96	41	mo	scale+nzv	glm	0.20744646110128714	0.001355228035029604	0.03681342194131923	iter_9
hdm201	137	96	41	mo	scale+nzv+pca	glm	0.19999230311750407	0.025255514792877663	0.1589198376316741	iter_9
lee011	172	120	52	panel	scale+nzv	glm	0.22800514385968285	NA	NA	iter_9
lee011	172	120	52	panel	scale+nzv+pca	glm	0.23537541378468857	0.010792886624870464	-0.10388881857481326	iter_9
lee011	172	120	52	mo	scale+nzv	glm	0.23908350011492374	0.0031982432268343273	-0.05655301253544613	iter_9
lee011	172	120	52	mo	scale+nzv+pca	glm	0.23336810984405043	0.010095814467225623	-0.10047793024951113	iter_9
ljm716	38	27	11	panel	scale+nzv	glm	0.21803902142019646	0.020388347999994987	0.14278777258573294	iter_9
ljm716	38	27	11	panel	scale+nzv+pca	glm	0.21847820913960084	NA	NA	iter_9
ljm716	38	27	11	mo	scale+nzv	glm	0.20439554406168575	0.5594404352094491	0.7479575089598667	iter_9
ljm716	38	27	11	mo	scale+nzv+pca	glm	0.21847820913960084	NA	NA	iter_9
lka136	115	80	35	panel	scale+nzv	glm	0.1847671701877122	NA	NA	iter_9
lka136	115	80	35	panel	scale+nzv+pca	glm	0.18446792257811842	0.005645424846291316	0.07513604225863454	iter_9
lka136	115	80	35	mo	scale+nzv	glm	0.18580340349474064	0.039134101214504266	0.1978234091671263	iter_9
lka136	115	80	35	mo	scale+nzv+pca	glm	0.1860660923222742	0.03399133419287501	0.18436738917952658	iter_9
llm871	63	44	19	panel	scale+nzv	glm	0.2695235789968195	NA	NA	iter_9
llm871	63	44	19	panel	scale+nzv+pca	glm	0.2695235789968195	NA	NA	iter_9
llm871	63	44	19	mo	scale+nzv	glm	0.2695235789968195	NA	NA	iter_9
llm871	63	44	19	mo	scale+nzv+pca	glm	0.2695235789968195	NA	NA	iter_9
bgj398	63	44	19	panel	scale+nzv	glm	0.1411285464752959	0.08912780748494613	0.2985428067881491	iter_10
bgj398	63	44	19	panel	scale+nzv+pca	glm	0.14410833914035012	0.06466242808990678	0.2542880809041328	iter_10
bgj398	63	44	19	mo	scale+nzv	glm	0.1466896896917881	NA	NA	iter_10
bgj398	63	44	19	mo	scale+nzv+pca	glm	0.14406904395535172	0.03996050821434444	0.19990124615505636	iter_10
binimetinib	173	121	52	panel	scale+nzv	glm	0.1282700962048433	NA	NA	iter_10
binimetinib	173	121	52	panel	scale+nzv+pca	glm	0.12680498873896998	0.028517252249789925	0.16887051918493626	iter_10
binimetinib	173	121	52	mo	scale+nzv	glm	0.11754345468757386	0.15456099533401113	0.39314246188120044	iter_10
binimetinib	173	121	52	mo	scale+nzv+pca	glm	0.1177561216156893	0.177532562449401	0.4213461314043372	iter_10
bkm120	170	119	51	panel	scale+nzv	glm	0.20962379831397485	0.0028707706978535435	-0.053579573513173315	iter_10
bkm120	170	119	51	panel	scale+nzv+pca	glm	0.20543924445076606	NA	NA	iter_10
bkm120	170	119	51	mo	scale+nzv	glm	0.20633234278323512	0.0011016464561748414	0.033191059883270396	iter_10
bkm120	170	119	51	mo	scale+nzv+pca	glm	0.2030717836571447	0.03529751654143911	0.1878763331062194	iter_10
byl719	141	99	42	panel	scale+nzv	glm	0.13921282775213348	0.0035267346452943966	0.059386316987117466	iter_10
byl719	141	99	42	panel	scale+nzv+pca	glm	0.13978770228542287	0.0028441889243471285	0.05333093777862085	iter_10
byl719	141	99	42	mo	scale+nzv	glm	0.13834378989332693	0.10441597364240078	0.32313460607369304	iter_10
byl719	141	99	42	mo	scale+nzv+pca	glm	0.1320562822514238	0.21218128201588005	0.4606313949524935	iter_10
byl719-ljm716	134	94	40	panel	scale+nzv	glm	0.1767195642692122	0.0045570242222380195	-0.06750573473593202	iter_10
byl719-ljm716	134	94	40	panel	scale+nzv+pca	glm	0.17686430988140725	1.3350801243571886e-4	0.01155456673509305	iter_10
byl719-ljm716	134	94	40	mo	scale+nzv	glm	0.1644676389872455	0.14004232451142773	0.3742222929108149	iter_10
byl719-ljm716	134	94	40	mo	scale+nzv+pca	glm	0.1618945715004397	0.17479236692946	0.41808177062562774	iter_10
cgm097	132	92	40	panel	scale+nzv	glm	0.18221650651344906	NA	NA	iter_10
cgm097	132	92	40	panel	scale+nzv+pca	glm	0.18012341004114216	0.07558918558104724	0.27493487516327797	iter_10
cgm097	132	92	40	mo	scale+nzv	glm	0.19399477971249518	7.982732936752283e-7	-8.934614114080296e-4	iter_10
cgm097	132	92	40	mo	scale+nzv+pca	glm	0.18561761069347038	0.0012485179011904168	0.035334372800297685	iter_10
clr457	159	111	48	panel	scale+nzv	glm	0.12957528567025398	0.003670211351984406	-0.06058226928718011	iter_10
clr457	159	111	48	panel	scale+nzv+pca	glm	0.12923010540408617	NA	NA	iter_10
clr457	159	111	48	mo	scale+nzv	glm	0.12875528435114775	0.03841244681676763	0.19599093554745747	iter_10
clr457	159	111	48	mo	scale+nzv+pca	glm	0.12739772386762013	0.038166079039849775	0.1953614062189607	iter_10
hdm201	137	96	41	panel	scale+nzv	glm	0.19793179896672988	0.07220794461765986	0.2687153598469203	iter_10
hdm201	137	96	41	panel	scale+nzv+pca	glm	0.19909944015093406	0.025518124193270895	0.15974393319707292	iter_10
hdm201	137	96	41	mo	scale+nzv	glm	0.20213748682836005	0.039361083175566004	0.19839627812931876	iter_10
hdm201	137	96	41	mo	scale+nzv+pca	glm	0.20393765464814118	0.015778546052699197	0.12561268269047993	iter_10
lee011	172	120	52	panel	scale+nzv	glm	0.1958162623553438	0.003088715717082618	-0.05557621539006248	iter_10
lee011	172	120	52	panel	scale+nzv+pca	glm	0.19470925199375455	NA	NA	iter_10
lee011	172	120	52	mo	scale+nzv	glm	0.19550246140783706	1.406423508064669e-4	0.011859272777302447	iter_10
lee011	172	120	52	mo	scale+nzv+pca	glm	0.19470925199375455	NA	NA	iter_10
ljm716	38	27	11	panel	scale+nzv	glm	0.09252729395146396	NA	NA	iter_10
ljm716	38	27	11	panel	scale+nzv+pca	glm	0.11092785951003455	3.7344221813642654e-4	-0.019324653118139704	iter_10
ljm716	38	27	11	mo	scale+nzv	glm	0.10664193244115425	3.3445146447982097e-4	0.018288014230085806	iter_10
ljm716	38	27	11	mo	scale+nzv+pca	glm	0.11571761447458033	0.0030676956991878344	-0.05538678271201383	iter_10
lka136	115	80	35	panel	scale+nzv	glm	0.17510190106433776	NA	NA	iter_10
lka136	115	80	35	panel	scale+nzv+pca	glm	0.17510190106433776	NA	NA	iter_10
lka136	115	80	35	mo	scale+nzv	glm	0.17510190106433776	NA	NA	iter_10
lka136	115	80	35	mo	scale+nzv+pca	glm	0.1726744646446214	0.048828512399430445	0.22097174570390316	iter_10
llm871	63	44	19	panel	scale+nzv	glm	0.299019314832409	0.004088651681218301	-0.06394256548824344	iter_10
llm871	63	44	19	panel	scale+nzv+pca	glm	0.29044376234060004	0.026399291138997083	-0.16247858670913248	iter_10
llm871	63	44	19	mo	scale+nzv	glm	0.2893135123621944	0.0031576710707844637	0.056193158576329054	iter_10
llm871	63	44	19	mo	scale+nzv+pca	glm	0.3094881843171916	2.5081369539432845e-4	-0.01583709870507627	iter_10
bgj398	63	44	19	panel	scale+nzv	glm	0.2494439097933156	0.027175556398814023	0.16485010281711693	iter_11
bgj398	63	44	19	panel	scale+nzv+pca	glm	0.24507798529004987	0.04768135636090857	0.21836061082738473	iter_11
bgj398	63	44	19	mo	scale+nzv	glm	0.2987193396557149	0.14053577903622774	-0.37488101983993233	iter_11
bgj398	63	44	19	mo	scale+nzv+pca	glm	0.2919081484803277	0.13984074328304405	-0.37395286238113495	iter_11
binimetinib	173	121	52	panel	scale+nzv	glm	0.15580949790363852	4.442204288944547e-5	0.0066649863382789816	iter_11
binimetinib	173	121	52	panel	scale+nzv+pca	glm	0.15154796566364828	0.051573952021351135	0.22709899167841133	iter_11
binimetinib	173	121	52	mo	scale+nzv	glm	0.14719616600005883	0.10161055116761988	0.318764099558937	iter_11
binimetinib	173	121	52	mo	scale+nzv+pca	glm	0.14528190111721626	0.11710366647871026	0.34220412983877074	iter_11
bkm120	170	119	51	panel	scale+nzv	glm	0.1615272850243561	7.330260431190908e-4	-0.027074453699365585	iter_11
bkm120	170	119	51	panel	scale+nzv+pca	glm	0.16303062796596274	0.013899808165088097	-0.11789744766146593	iter_11
bkm120	170	119	51	mo	scale+nzv	glm	0.16070220297812277	0.016407330524774857	0.12809110244187477	iter_11
bkm120	170	119	51	mo	scale+nzv+pca	glm	0.1653284221906803	3.685695442238822e-6	0.0019198165126487537	iter_11
byl719	141	99	42	panel	scale+nzv	glm	0.15756815268049532	0.007147841728253589	-0.08454490953483591	iter_11
byl719	141	99	42	panel	scale+nzv+pca	glm	0.15780254044963424	4.095759123821968e-5	0.0063998118127191585	iter_11
byl719	141	99	42	mo	scale+nzv	glm	0.16123525427179572	0.019274013785347693	0.1388308819584018	iter_11
byl719	141	99	42	mo	scale+nzv+pca	glm	0.15511490108995135	0.051452558002092266	0.22683156306407684	iter_11
byl719-ljm716	134	94	40	panel	scale+nzv	glm	0.1484334280952642	NA	NA	iter_11
byl719-ljm716	134	94	40	panel	scale+nzv+pca	glm	0.1484334280952642	NA	NA	iter_11
byl719-ljm716	134	94	40	mo	scale+nzv	glm	0.12235501800447265	0.358847488461283	0.5990388038026276	iter_11
byl719-ljm716	134	94	40	mo	scale+nzv+pca	glm	0.12293264428008316	0.3619669601967154	0.6016369006275425	iter_11
cgm097	132	92	40	panel	scale+nzv	glm	0.1987398636683791	0.006363384394572317	-0.07977082420642473	iter_11
cgm097	132	92	40	panel	scale+nzv+pca	glm	0.19704593787504593	NA	NA	iter_11
cgm097	132	92	40	mo	scale+nzv	glm	0.20152890497113277	0.0027543881501223707	-0.05248226510091167	iter_11
cgm097	132	92	40	mo	scale+nzv+pca	glm	0.19389299122078915	0.03224754733222591	0.17957602103907389	iter_11
clr457	159	111	48	panel	scale+nzv	glm	0.11483748918937196	NA	NA	iter_11
clr457	159	111	48	panel	scale+nzv+pca	glm	0.11408594293658104	0.03155066159579856	0.177625059031091	iter_11
